id,event_unique_id,occ_date,occ_year,occ_month,occ_dow,occ_doy,occ_day,occ_hour,occ_time_range,division,death,injuries,hood_158,neighbourhood_158
26,GO-2004218803,2004-03-03,2004,March,Wednesday,63,3,0,Night,D42,1,1,136,West Hill (136)
67,GO-2004311851,2004-05-14,2004,May,Friday,135,14,16,Afternoon,D31,1,1,024,Black Creek (24)
265,GO-2005739574,2005-05-05,2005,May,Thursday,125,5,2,Night,D14,1,1,171,Junction-Wallace Emerson (171)
337,GO-20051059962,2005-07-19,2005,July,Tuesday,200,19,20,Evening,D12,1,1,111,Rockcliffe-Smythe (111)
354,GO-20051041793,2005-08-03,2005,August,Wednesday,215,3,0,Night,D23,1,1,002,Mount Olive-Silverstone-Jamestown (2)
359,GO-20051068304,2005-08-08,2005,August,Monday,220,8,3,Night,D51,2,1,098,Rosedale-Moore Park (98)
428,GO-20051322417,2005-11-14,2005,November,Monday,318,14,0,Night,D12,1,2,022,Humbermede (22)
451,GO-20051229258,2005-12-26,2005,December,Monday,360,26,0,Night,D52,1,6,170,Yonge-Bay Corridor (170)
475,GO-20061361475,2006-02-06,2006,February,Monday,37,6,23,Evening,D31,1,1,025,Glenfield-Jane Heights (25)
505,GO-20061570672,2006-03-27,2006,March,Monday,86,27,22,Evening,D12,1,2,115,Mount Dennis (115)
551,GO-20061433643,2006-06-12,2006,June,Monday,163,12,21,Evening,D31,1,1,028,Rustic (28)
573,GO-20061463143,2006-07-02,2006,July,Sunday,183,2,0,Night,D12,1,1,022,Humbermede (22)
575,GO-20061436777,2006-07-05,2006,July,Wednesday,186,5,2,Night,D22,1,1,020,Alderwood (20)
582,GO-20061436568,2006-07-17,2006,July,Monday,198,17,0,Night,D52,1,2,164,Wellington Place (164)
621,GO-20061905589,2006-10-09,2006,October,Monday,282,9,21,Evening,D54,1,1,043,Victoria Village (43)
677,GO-20071763040,2007-01-11,2007,January,Thursday,11,11,0,Night,D54,1,1,044,Flemingdon Park (44)
687,GO-20071925141,2007-02-04,2007,February,Sunday,35,4,0,Night,D43,1,2,123,Cliffcrest (123)
701,GO-20071564750,2007-03-17,2007,March,Saturday,76,17,5,Night,D13,1,1,108,Briar Hill-Belgravia (108)
733,GO-20072044021,2007-05-21,2007,May,Monday,141,21,4,Night,D31,1,1,022,Humbermede (22)
745,GO-20072066379,2007-06-09,2007,June,Saturday,160,9,15,Afternoon,D23,1,3,170,Yonge-Bay Corridor (170)
769,GO-20072226971,2007-07-21,2007,July,Saturday,202,21,2,Night,D13,1,1,107,Oakwood Village (107)
770,GO-20072253925,2007-07-22,2007,July,Sunday,203,22,1,Night,D52,1,1,164,Wellington Place (164)
825,GO-20071902459,2007-10-09,2007,October,Tuesday,282,9,20,Evening,D31,1,3,025,Glenfield-Jane Heights (25)
912,GO-20082704738,2008-03-14,2008,March,Friday,74,14,21,Evening,D32,1,5,027,York University Heights (27)
978,GO-20082862776,2008-07-09,2008,July,Wednesday,191,9,19,Evening,D41,1,1,119,Wexford/Maryvale (119)
998,GO-20082773144,2008-07-26,2008,July,Saturday,208,26,2,Night,D31,1,1,023,Pelmo Park-Humberlea (23)
1012,GO-20082756711,2008-08-10,2008,August,Sunday,223,10,14,Afternoon,D42,1,1,128,Agincourt South-Malvern West (128)
1059,GO-20083044970,2008-10-09,2008,October,Thursday,283,9,18,Evening,D31,1,2,154,Oakdale-Beverley Heights (154)
1076,GO-20082440245,2008-10-25,2008,October,Saturday,299,25,0,Night,D55,1,5,070,South Riverdale (70)
1258,GO-20093505649,2009-08-01,2009,August,Saturday,213,1,4,Night,D53,1,1,095,Annex (95)
1313,GO-20093528405,2009-10-10,2009,October,Saturday,283,10,23,Evening,D14,1,1,085,South Parkdale (85)
1320,GO-20093524643,2009-10-18,2009,October,Sunday,291,18,3,Night,D31,1,4,027,York University Heights (27)
1321,GO-20093425603,2009-10-30,2009,October,Friday,303,30,23,Evening,D13,1,1,094,Wychwood (94)
1343,GO-20093577507,2009-11-22,2009,November,Sunday,326,22,3,Night,D41,1,4,156,Bendale-Glen Andrew (156)
1351,GO-20093687835,2009-12-03,2009,December,Thursday,337,3,23,Evening,D31,1,3,028,Rustic (28)
1356,GO-20093565796,2009-12-09,2009,December,Wednesday,343,9,0,Night,D31,1,1,154,Oakdale-Beverley Heights (154)
1520,GO-20103773675,2010-08-24,2010,August,Tuesday,236,24,19,Evening,D32,1,1,032,Englemount-Lawrence (32)
1601,GO-20103929126,2010-11-20,2010,November,Saturday,324,20,2,Night,D33,1,2,047,Don Valley Village (47)
1744,GO-20114119820,2011-07-31,2011,July,Sunday,212,31,23,Evening,D12,1,1,115,Mount Dennis (115)
1753,GO-20114082526,2011-08-20,2011,August,Saturday,232,20,0,Night,D31,1,1,155,Downsview (155)
1805,GO-20114219112,2011-10-21,2011,October,Friday,294,21,0,Night,D22,1,1,013,Etobicoke West Mall (13)
1963,GO-20124533105,2012-06-02,2012,June,Saturday,154,2,18,Evening,D52,2,1,168,Downtown Yonge East (168)
1976,GO-20124386217,2012-06-18,2012,June,Monday,170,18,15,Afternoon,D14,1,1,080,Palmerston-Little Italy (80)
1996,GO-20124544154,2012-07-16,2012,July,Monday,198,16,0,Night,D43,2,24,136,West Hill (136)
2086,GO-20134834800,2013-02-10,2013,February,Sunday,41,10,0,Night,D14,1,1,163,Fort York-Liberty Village (163)
2114,GO-20134907315,2013-03-28,2013,March,Thursday,87,28,2,Night,D14,1,1,NSA,NSA
2117,GO-20134902638,2013-03-30,2013,March,Saturday,89,30,20,Evening,D32,1,1,031,Yorkdale-Glen Park (31)
2136,GO-20134948721,2013-04-25,2013,April,Thursday,115,25,19,Evening,D42,1,1,144,Morningside Heights (144)
2320,GO-20141824235,2014-04-04,2014,April,Friday,94,4,0,Night,D51,1,1,071,Cabbagetown-South St.James Town (71)
